!STATION,ANTENNA-TYPE,ANTENNA-ID,ETRS-X,ETRS-Y,ETRS-Z,RCU-X,RCU-Y
! from https://github.com/lofar-astron/lofar-antenna-positions Edited to leave only Dutch LBA
CS002,LBA,71,3826597.384,461010.750,5064878.646,47,46
CS002,LBA,72,3826597.167,460997.007,5064880.050,49,48
CS002,LBA,73,3826585.964,460992.640,5064888.855,51,50
CS002,LBA,74,3826574.320,460991.915,5064897.660,53,52
CS002,LBA,75,3826567.927,460992.974,5064902.363,55,54
CS002,LBA,76,3826556.603,461006.227,5064909.665,57,56
CS002,LBA,77,3826550.130,461022.736,5064913.031,59,58
CS002,LBA,78,3826551.476,461034.774,5064910.933,61,60
CS002,LBA,79,3826557.309,461040.251,5064906.060,63,62
CS002,LBA,80,3826563.070,461052.575,5064900.622,65,64
CS002,LBA,81,3826577.802,461056.389,5064889.219,67,66
CS002,LBA,82,3826584.892,461054.493,5064884.068,69,68
CS002,LBA,83,3826596.350,461046.681,5064876.174,71,70
CS002,LBA,84,3826599.024,461039.011,5064874.860,73,72
CS002,LBA,85,3826604.091,461019.135,5064872.853,75,74
CS002,LBA,86,3826601.293,461013.611,5064875.453,77,76
CS002,LBA,87,3826605.648,461010.191,5064872.493,79,78
CS002,LBA,88,3826585.426,460981.679,5064890.249,81,80
CS002,LBA,89,3826565.092,460986.695,5064905.059,83,82
CS002,LBA,90,3826551.362,460998.023,5064914.340,85,84
CS002,LBA,91,3826546.525,461013.197,5064916.600,87,86
CS002,LBA,92,3826556.484,461055.669,5064905.285,89,88
CS002,LBA,93,3826574.033,461059.016,5064891.811,91,90
CS002,LBA,94,3826586.851,461061.587,5064881.957,93,92
CS002,LBA,95,3826608.175,461026.314,5064869.139,95,94
CS002,HBA,0,3826592.449,460960.627,5064886.881,0,1
CS002,HBA,1,3826595.283,460964.162,5064884.433,2,3
CS002,HBA,2,3826592.611,460953.365,5064887.415,4,5
CS002,HBA,3,3826595.445,460956.900,5064884.968,6,7
CS002,HBA,4,3826598.280,460960.436,5064882.521,8,9
CS002,HBA,5,3826601.114,460963.970,5064880.074,10,11
CS002,HBA,6,3826592.772,460946.103,5064887.951,12,13
CS002,HBA,7,3826595.606,460949.638,5064885.503,14,15
CS002,HBA,8,3826598.442,460953.174,5064883.056,16,17
CS002,HBA,9,3826601.276,460956.708,5064880.608,18,19
CS002,HBA,10,3826604.111,460960.244,5064878.161,20,21
CS002,HBA,11,3826606.945,460963.779,5064875.714,22,23
CS002,HBA,12,3826595.769,460942.377,5064886.038,24,25
CS002,HBA,13,3826598.603,460945.912,5064883.591,26,27
CS002,HBA,14,3826601.438,460949.448,5064881.144,28,29
CS002,HBA,15,3826604.272,460952.982,5064878.696,30,31
CS002,HBA,16,3826607.108,460956.518,5064876.249,32,33
CS002,HBA,17,3826609.942,460960.053,5064873.801,34,35
CS002,HBA,18,3826601.600,460942.186,5064881.678,36,37
CS002,HBA,19,3826604.434,460945.720,5064879.231,38,39
CS002,HBA,20,3826607.269,460949.256,5064876.784,40,41
CS002,HBA,21,3826610.103,460952.791,5064874.337,42,43
CS002,HBA,22,3826607.431,460941.994,5064877.319,44,45
CS002,HBA,23,3826610.265,460945.529,5064874.871,46,47
CS002,HBA,24,3826556.102,460954.001,5064914.763,48,49
CS002,HBA,25,3826555.486,460959.114,5064914.763,50,51
CS002,HBA,26,3826560.796,460949.379,5064911.657,52,53
CS002,HBA,27,3826560.180,460954.492,5064911.657,54,55
CS002,HBA,28,3826559.564,460959.605,5064911.657,56,57
CS002,HBA,29,3826558.948,460964.718,5064911.657,58,59
CS002,HBA,30,3826565.491,460944.758,5064908.551,60,61
CS002,HBA,31,3826564.875,460949.871,5064908.551,62,63
CS002,HBA,32,3826564.259,460954.984,5064908.551,64,65
CS002,HBA,33,3826563.643,460960.097,5064908.551,66,67
CS002,HBA,34,3826563.027,460965.210,5064908.551,68,69
CS002,HBA,35,3826562.411,460970.323,5064908.551,70,71
CS002,HBA,36,3826569.569,460945.249,5064905.445,72,73
CS002,HBA,37,3826568.953,460950.362,5064905.445,74,75
CS002,HBA,38,3826568.337,460955.475,5064905.445,76,77
CS002,HBA,39,3826567.721,460960.588,5064905.445,78,79
CS002,HBA,40,3826567.105,460965.701,5064905.445,80,81
CS002,HBA,41,3826566.489,460970.814,5064905.445,82,83
CS002,HBA,42,3826573.032,460950.854,5064902.339,84,85
CS002,HBA,43,3826572.416,460955.967,5064902.339,86,87
CS002,HBA,44,3826571.800,460961.080,5064902.339,88,89
CS002,HBA,45,3826571.184,460966.193,5064902.339,90,91
CS002,HBA,46,3826576.494,460956.458,5064899.233,92,93
CS002,HBA,47,3826575.878,460961.571,5064899.233,94,95
CS003,LBA,0,3826517.144,460929.742,5064946.197,0,1
CS003,LBA,1,3826515.124,460929.498,5064947.735,2,3
CS003,LBA,2,3826515.805,460931.847,5064947.011,4,5
CS003,LBA,3,3826517.944,460932.104,5064945.383,6,7
CS003,LBA,4,3826519.163,460929.985,5064944.659,8,9
CS003,LBA,5,3826518.482,460927.637,5064945.383,10,11
CS003,LBA,6,3826516.344,460927.379,5064947.011,12,13
CS003,LBA,7,3826521.697,460928.292,5064942.910,14,15
CS003,LBA,8,3826520.041,460925.032,5064944.448,16,17
CS003,LBA,9,3826517.029,460923.975,5064946.804,18,19
CS003,LBA,10,3826514.071,460925.617,5064948.877,20,21
CS003,LBA,11,3826512.550,460929.188,5064949.695,22,23
CS003,LBA,12,3826513.179,460933.019,5064948.877,24,25
CS003,LBA,13,3826515.663,460935.317,5064946.805,26,27
CS003,LBA,14,3826518.840,460935.005,5064944.448,28,29
CS003,LBA,15,3826521.223,460932.232,5064942.910,30,31
CS003,LBA,16,3826523.991,460932.995,5064940.763,32,33
CS003,LBA,17,3826525.057,460929.531,5064940.277,34,35
CS003,LBA,18,3826524.519,460924.593,5064941.126,36,37
CS003,LBA,19,3826520.092,460920.178,5064944.848,38,39
CS003,LBA,20,3826517.577,460919.604,5064946.788,40,41
CS003,LBA,21,3826514.192,460920.586,5064949.240,42,43
CS003,LBA,22,3826511.787,460923.756,5064950.759,44,45
CS003,LBA,23,3826509.996,460929.200,5064951.612,46,47
CS003,LBA,24,3826509.794,460933.972,5064951.331,48,49
CS003,LBA,25,3826511.689,460937.521,5064949.589,50,51
CS003,LBA,26,3826514.661,460938.655,5064947.255,52,53
CS003,LBA,27,3826518.544,460938.485,5064944.356,54,55
CS003,LBA,28,3826521.957,460936.362,5064941.986,56,57
CS003,LBA,29,3826528.071,460933.427,5064937.662,58,59
CS003,LBA,30,3826528.971,460929.732,5064937.320,60,61
CS003,LBA,31,3826528.342,460926.763,5064938.061,62,63
CS003,LBA,32,3826524.894,460920.288,5064941.234,64,65
CS003,LBA,33,3826524.583,460917.352,5064941.733,66,67
CS003,LBA,34,3826518.667,460916.511,5064946.250,68,69
CS003,LBA,35,3826514.617,460917.233,5064949.224,70,71
CS003,LBA,36,3826510.365,460917.726,5064952.372,72,73
CS003,LBA,37,3826509.382,460920.904,5064952.822,74,75
CS003,LBA,38,3826507.567,460925.187,5064953.797,76,77
CS003,LBA,39,3826506.642,460932.130,5064953.864,78,79
CS003,LBA,40,3826506.729,460934.898,5064953.548,80,81
CS003,LBA,41,3826509.203,460939.057,5064951.315,82,83
CS003,LBA,42,3826510.514,460942.771,5064949.996,84,85
CS003,LBA,43,3826517.514,460943.792,5064944.650,86,87
CS003,LBA,44,3826520.620,460942.676,5064942.419,88,89
CS003,LBA,45,3826524.650,460940.233,5064939.614,90,91
CS003,LBA,46,3826478.494,460906.098,5064977.346,92,93
CS003,LBA,47,3826495.992,460979.267,5064957.598,94,95
CS003,LBA,48,3826528.234,460940.379,5064936.911,1,0
CS003,LBA,49,3826530.685,460939.925,5064935.112,3,2
CS003,LBA,50,3826533.146,460924.602,5064934.650,5,4
CS003,LBA,51,3826525.374,460912.308,5064941.595,7,6
CS003,LBA,52,3826522.054,460909.876,5064944.307,9,8
CS003,LBA,53,3826512.497,460912.736,5064951.222,11,10
CS003,LBA,54,3826504.549,460922.066,5064956.345,13,12
CS003,LBA,55,3826500.853,460928.778,5064958.512,15,14
CS003,LBA,56,3826505.687,460941.504,5064953.734,17,16
CS003,LBA,57,3826509.660,460947.705,5064950.191,19,18
CS003,LBA,58,3826517.573,460948.360,5064944.192,21,20
CS003,LBA,59,3826522.684,460953.132,5064939.924,23,22
CS003,LBA,60,3826531.648,460945.912,5064933.848,25,24
CS003,LBA,61,3826536.874,460934.505,5064930.957,27,26
CS003,LBA,62,3826537.651,460928.281,5064930.936,29,28
CS003,LBA,63,3826537.435,460919.895,5064931.856,31,30
CS003,LBA,64,3826527.074,460908.654,5064940.649,33,32
CS003,LBA,65,3826521.296,460905.655,5064945.257,35,34
CS003,LBA,66,3826510.216,460905.618,5064953.577,37,36
CS003,LBA,67,3826501.407,460915.174,5064959.326,39,38
CS003,LBA,68,3826497.273,460923.167,5064961.706,41,40
